date, day, frac_nr, frac_guess_magn, frac_magn, frac_guess_prob, frac_prob 
2017-07-10T13:09:02.956Z,4,4,nan,15, 0.08, 0.7 
2017-07-10T13:09:02.956Z,4,3,nan,25, 0.07, 0.4 
2017-07-10T13:09:02.956Z,4,0,nan,25, 0.09, 0.5 
2017-07-10T13:09:02.956Z,4,2,nan,35, 0.24, 0.3 
2017-07-10T13:09:02.956Z,4,1,nan,20, 0.16, 0.5 
2017-07-10T13:09:02.956Z,4,0,7,25, nan, 0.5 
2017-07-10T13:09:02.956Z,4,3,5,25, nan, 0.4 
2017-07-10T13:09:02.956Z,4,1,3,20, nan, 0.5 
2017-07-10T13:09:02.956Z,4,2,3,35, nan, 0.3 
2017-07-10T13:09:02.956Z,4,4,12,15, nan, 0.7 
